,audio_spans,path,filename,folder,subfolder
0,"[{'start': 0.0426666667, 'end': 0.5333333333, 'label': 'CHUNK', 'id': 'e326d446-a254-47aa-bfd7-f0f182b5b16f', 'color': 'gold'}, {'start': 1.9413333333, 'end': 2.432, 'label': 'CHUNK', 'id': '60890e3c-b5c1-4470-b5ca-6199fec95578', 'color': 'gold'}, {'start': 3.6906666667, 'end': 4.1386666667, 'label': 'CHUNK', 'id': '6adceee7-e9ce-4033-a09d-63ac577c45eb', 'color': 'gold'}, {'start': 5.5466666667, 'end': 6.1866666667, 'label': 'CHUNK', 'id': '0a4800ea-4f3c-430d-a9c0-5021898f2253', 'color': 'gold'}, {'start': 7.5733333333, 'end': 8.1066666667, 'label': 'CHUNK', 'id': 'c2dcb5b9-2df1-427b-a419-b494528ca7a9', 'color': 'gold'}, {'start': 9.536, 'end': 10.112, 'label': 'CHUNK', 'id': '0c880403-62d5-49f1-8526-fdf2cec394b5', 'color': 'gold'}, {'start': 11.4986666667, 'end': 11.8826666667, 'label': 'CHUNK', 'id': 'da2673d4-1ac0-4346-bcaa-8134c5bc1dfa', 'color': 'gold'}, {'start': 13.504, 'end': 14.8693333333, 'label': 'CHUNK', 'id': '89a6b9c9-05f0-47c7-a705-5a3b2b2700cf', 'color': 'gold'}, {'start': 16.3626666667, 'end': 20.6293333333, 'label': 'CHUNK', 'id': 'f12dada3-61ec-46e1-bd57-a50ea298a5fc', 'color': 'gold'}]",./duplicate/AirRelease_DIGIF5-92.wav,AirRelease_DIGIF5-92,DIGI-F,DIGIF5
1,"[{'start': 0.0426666667, 'end': 0.5973333333, 'label': 'CHUNK', 'id': 'a8f73d97-26b3-4aa9-8458-33cf3b36ec07', 'color': 'gold'}, {'start': 1.3653333333, 'end': 1.728, 'label': 'CHUNK', 'id': '88893737-8e15-4bfb-b95a-3c06229db874', 'color': 'gold'}, {'start': 2.5386666667, 'end': 2.816, 'label': 'CHUNK', 'id': '820db63e-8e89-4545-a55b-400bd3a7f760', 'color': 'gold'}, {'start': 3.7119999999999997, 'end': 4.0106666667, 'label': 'CHUNK', 'id': '13e40460-8ac9-4b71-b8ec-5c6eb6c2302c', 'color': 'gold'}, {'start': 4.928, 'end': 5.6533333333, 'label': 'CHUNK', 'id': 'ea4e99f7-948c-4906-9403-668acdd0edb2', 'color': 'gold'}, {'start': 6.6346666667, 'end': 7.2746666667, 'label': 'CHUNK', 'id': '16cec097-756a-47d6-bb10-c0f9ee41ebaf', 'color': 'gold'}, {'start': 7.872, 'end': 8.1493333333, 'label': 'CHUNK', 'id': '6372ff63-1190-4b8a-87ad-8a3270f53c71', 'color': 'gold'}, {'start': 8.9173333333, 'end': 9.3013333333, 'label': 'CHUNK', 'id': 'bc9ee108-10a7-4cdc-aa6f-0cc81f6133f3', 'color': 'gold'}, {'start': 17.8773333333, 'end': 18.3466666667, 'label': 'CHUNK', 'id': 'ecf92086-bc23-4fe7-893d-3b383b070c7a', 'color': 'gold'}, {'start': 18.7733333333, 'end': 19.2853333333, 'label': 'CHUNK', 'id': 'e07b0b45-87ea-4cf0-8dd0-2dca20cfc021', 'color': 'gold'}, {'start': 19.6693333333, 'end': 20.2026666667, 'label': 'CHUNK', 'id': 'a9c9621e-667c-46c1-b8d1-e99d734efd4c', 'color': 'gold'}, {'start': 20.6293333333, 'end': 21.0346666667, 'label': 'CHUNK', 'id': 'f4c0f807-2e13-4b92-a678-aaff9cd702e5', 'color': 'gold'}, {'start': 21.6106666667, 'end': 21.9306666667, 'label': 'CHUNK', 'id': '285c90fe-68b2-42e8-9f39-407ac09f8d8b', 'color': 'gold'}, {'start': 22.8693333333, 'end': 23.2106666667, 'label': 'CHUNK', 'id': '04bdef0e-ae19-4fa8-9ee2-46eff384e656', 'color': 'gold'}, {'start': 23.7866666667, 'end': 24.192, 'label': 'CHUNK', 'id': '04455f6e-55a5-440d-b31d-82d0000c20a3', 'color': 'gold'}, {'start': 24.896, 'end': 25.1733333333, 'label': 'CHUNK', 'id': 'ecfe1a0f-b517-4a70-b973-225ea08d11c7', 'color': 'gold'}, {'start': 25.9413333333, 'end': 26.2186666667, 'label': 'CHUNK', 'id': '064eb114-ca9b-4c4e-95c5-9232769cc738', 'color': 'gold'}, {'start': 26.7946666667, 'end': 27.0933333333, 'label': 'CHUNK', 'id': '73fcbb62-19aa-453d-bfc5-78ff52383adf', 'color': 'gold'}, {'start': 27.7546666667, 'end': 28, 'label': 'CHUNK', 'id': '3da8b9e6-ea43-4ccc-a70f-6b3dc42b8c6f', 'color': 'gold'}, {'start': 10.0914826498, 'end': 11.3722397476, 'label': 'CHUNK', 'id': '3256bd46-dcf8-4c2d-a543-5ba66c0511f7', 'color': 'rgba(255,215,0,0.2)'}, {'start': 11.6372239748, 'end': 13.3154574132, 'label': 'CHUNK', 'id': 'ee905588-672b-4fa2-a47a-ea0a43ac9f22', 'color': 'rgba(255,215,0,0.2)'}, {'start': 13.6687697161, 'end': 14.7728706625, 'label': 'CHUNK', 'id': '1df2c352-f526-4e91-b3a1-8333752deb59', 'color': 'rgba(255,215,0,0.2)'}, {'start': 14.9936908517, 'end': 15.7886435331, 'label': 'CHUNK', 'id': 'd437b6ce-aee6-4dca-bc78-a23bf9bb33b1', 'color': 'rgba(255,215,0,0.2)'}, {'start': 16.0536277603, 'end': 17.4227129338, 'label': 'CHUNK', 'id': '136f1309-56fd-4594-9154-a02796b32b73', 'color': 'rgba(255,215,0,0.2)'}]",./duplicate/AirRelease_DIGIJ09-43.wav,AirRelease_DIGIJ09-43,DIGI-J,DIGIJ09
2,"[{'start': 0.0426666667, 'end': 0.5333333333, 'label': 'CHUNK', 'id': 'e814ddff-e3f2-4cad-82e1-3c78c500c3af', 'color': 'gold'}, {'start': 1.9413333333, 'end': 2.432, 'label': 'CHUNK', 'id': '4223bd26-7ee3-4253-868a-bdbe38fcb36b', 'color': 'gold'}, {'start': 3.6906666667, 'end': 4.1386666667, 'label': 'CHUNK', 'id': '1e5073c2-e085-4812-be3f-f71da3b32fd9', 'color': 'gold'}, {'start': 5.5466666667, 'end': 6.1866666667, 'label': 'CHUNK', 'id': '591c3814-ba34-402a-97da-9a20759dd264', 'color': 'gold'}, {'start': 7.5733333333, 'end': 8.1066666667, 'label': 'CHUNK', 'id': 'bc8c6a01-9bdc-446b-9212-bdcacc3ac2bf', 'color': 'gold'}, {'start': 9.536, 'end': 10.112, 'label': 'CHUNK', 'id': '48dae749-276a-41e1-9d9f-5fb17f2879a6', 'color': 'gold'}, {'start': 11.4986666667, 'end': 11.8826666667, 'label': 'CHUNK', 'id': 'ec563bf1-bb07-4e8e-83cb-545c4ff73e3d', 'color': 'gold'}, {'start': 13.504, 'end': 14.8693333333, 'label': 'CHUNK', 'id': '6968fc5a-ad4c-428e-b8fa-1215b2152304', 'color': 'gold'}, {'start': 16.3626666667, 'end': 20.6293333333, 'label': 'CHUNK', 'id': '678f6e94-dc5d-4ff5-9eff-01bbba020237', 'color': 'gold'}]",./duplicate/AirRelease_DIGIF5-92.wav,AirRelease_DIGIF5-92,DIGI-F,DIGIF5
3,"[{'start': 0.0426666667, 'end': 0.5973333333, 'label': 'CHUNK', 'id': '4cedc5d9-8b98-410a-b107-ddcbdb8b4082', 'color': 'gold'}, {'start': 1.3653333333, 'end': 1.728, 'label': 'CHUNK', 'id': '88bc4d32-7bb3-4d6b-be7e-77eb1949b03f', 'color': 'gold'}, {'start': 2.5386666667, 'end': 2.816, 'label': 'CHUNK', 'id': '4e6a0eff-1be5-40de-805a-688ed7e93da8', 'color': 'gold'}, {'start': 3.7119999999999997, 'end': 4.0106666667, 'label': 'CHUNK', 'id': '02102dc0-596d-4029-80a1-c8a223cf5318', 'color': 'gold'}, {'start': 4.928, 'end': 5.6533333333, 'label': 'CHUNK', 'id': 'fa1a59f2-6ac1-4748-8f8c-3e0f4434abc1', 'color': 'gold'}, {'start': 6.6346666667, 'end': 7.2746666667, 'label': 'CHUNK', 'id': '6a6b9046-c1c5-45a4-a244-91ebf2a903af', 'color': 'gold'}, {'start': 7.872, 'end': 8.1493333333, 'label': 'CHUNK', 'id': 'a78a36f3-0bbe-4863-9338-45c2f206b9e9', 'color': 'gold'}, {'start': 8.9173333333, 'end': 9.3013333333, 'label': 'CHUNK', 'id': 'ccedaa45-a13e-4beb-be00-2f78a82c4bed', 'color': 'gold'}, {'start': 17.8773333333, 'end': 18.3466666667, 'label': 'CHUNK', 'id': '5b537d4b-12b8-4515-b97a-fa9d68700348', 'color': 'gold'}, {'start': 18.7733333333, 'end': 19.2853333333, 'label': 'CHUNK', 'id': '88348e0e-ceb3-4f24-955c-601ac77a27eb', 'color': 'gold'}, {'start': 19.6693333333, 'end': 20.2026666667, 'label': 'CHUNK', 'id': 'a8a0979d-c192-4554-8f4b-71ceae6b6f46', 'color': 'gold'}, {'start': 20.6293333333, 'end': 21.0346666667, 'label': 'CHUNK', 'id': 'faac4e27-c90e-4cd8-bf15-16def8948b9e', 'color': 'gold'}, {'start': 21.6106666667, 'end': 21.9306666667, 'label': 'CHUNK', 'id': 'a2bb4d13-eb91-43c2-908f-952906e51da4', 'color': 'gold'}, {'start': 22.8693333333, 'end': 23.2106666667, 'label': 'CHUNK', 'id': '7b9b7704-fed6-43b1-9735-725c3da347e7', 'color': 'gold'}, {'start': 23.7866666667, 'end': 24.192, 'label': 'CHUNK', 'id': '21bf2cb4-9a46-4ba2-89c1-91e746f5c4e2', 'color': 'gold'}, {'start': 24.896, 'end': 25.1733333333, 'label': 'CHUNK', 'id': '316bfd5d-f84e-4c60-954f-38fabd42ee6e', 'color': 'gold'}, {'start': 25.9413333333, 'end': 26.2186666667, 'label': 'CHUNK', 'id': '0e3d0b92-8896-4f47-92f7-0b32f8d656d8', 'color': 'gold'}, {'start': 26.7946666667, 'end': 27.0933333333, 'label': 'CHUNK', 'id': '76745785-778f-4e6c-ad46-6e3957af6120', 'color': 'gold'}, {'start': 27.7546666667, 'end': 28, 'label': 'CHUNK', 'id': 'd2e28757-a3d7-4956-91d6-e1913a706a59', 'color': 'gold'}, {'start': 10.047318612, 'end': 11.5930599369, 'label': 'CHUNK', 'id': '844d390f-1295-48fd-a0c2-8608eb4f4d0a', 'color': 'rgba(255,215,0,0.2)'}, {'start': 11.8138801262, 'end': 13.2712933754, 'label': 'CHUNK', 'id': '56caab24-9c1f-4b62-82ad-73614dd7d019', 'color': 'rgba(255,215,0,0.2)'}, {'start': 13.6246056782, 'end': 14.728706624600001, 'label': 'CHUNK', 'id': '6fa4ca90-cc4b-441a-8d08-dacb898da6dc', 'color': 'rgba(255,215,0,0.2)'}, {'start': 14.8170347003, 'end': 15.9211356467, 'label': 'CHUNK', 'id': '82e11d03-e5ae-4124-aca9-d7e479771fcd', 'color': 'rgba(255,215,0,0.2)'}, {'start': 16.141955836, 'end': 17.4668769716, 'label': 'CHUNK', 'id': '1e76b22d-ec19-4c8d-baa5-12e127f7aa33', 'color': 'rgba(255,215,0,0.2)'}]",./duplicate/AirRelease_DIGIJ09-43.wav,AirRelease_DIGIJ09-43,DIGI-J,DIGIJ09
4,"[{'start': 0, 'end': 0.5760000000000001, 'label': 'CHUNK', 'id': '03435581-02d4-4fe2-93a5-69e70eaeda04', 'color': 'gold'}, {'start': 1.3013333333000001, 'end': 2.56, 'label': 'CHUNK', 'id': 'b894e456-ecab-46ff-b939-45c315e9aacf', 'color': 'gold'}, {'start': 3.584, 'end': 4.7146666667, 'label': 'CHUNK', 'id': '54ba14da-3988-46e2-ad53-12214f1736b5', 'color': 'gold'}, {'start': 5.4826666667, 'end': 7.5093333333, 'label': 'CHUNK', 'id': '80c09dbc-5fae-443c-951e-7976c32c80ee', 'color': 'gold'}, {'start': 8.0853333333, 'end': 11.1786666667, 'label': 'CHUNK', 'id': 'b83d7b3c-5863-4a30-a55f-648d8b1c7978', 'color': 'gold'}, {'start': 11.456, 'end': 14.528, 'label': 'CHUNK', 'id': '1963430b-d99d-478f-b915-1f403e89093c', 'color': 'gold'}, {'start': 15.5306666667, 'end': 19.4346666667, 'label': 'CHUNK', 'id': '0354234a-dac0-4a2f-87c5-e700a04301b7', 'color': 'gold'}, {'start': 19.9466666667, 'end': 23.2533333333, 'label': 'CHUNK', 'id': '708201ca-865e-4e3f-ac35-735382cbf807', 'color': 'gold'}, {'start': 23.936, 'end': 27.1786666667, 'label': 'CHUNK', 'id': 'de45537b-26bd-4c11-95ab-4c346d89dbe0', 'color': 'gold'}]",./duplicate/AirRelease_DIGIJ11-54.wav,AirRelease_DIGIJ11-54,DIGI-J,DIGIJ11
5,"[{'start': 0, 'end': 6.8053333333, 'label': 'CHUNK', 'id': '79d2fabc-c789-4174-8ff0-2f09e99677f0', 'color': 'gold'}, {'start': 7.68, 'end': 14.3573333333, 'label': 'CHUNK', 'id': '5a1786ca-dd32-409d-aa45-fe2126433e82', 'color': 'gold'}]",./duplicate/AirRelease_DIGIJ11-55.wav,AirRelease_DIGIJ11-55,DIGI-J,DIGIJ11
6,"[{'start': 0.0426666667, 'end': 0.5333333333, 'label': 'CHUNK', 'id': '781a4e5f-c94b-4521-90ce-bac088a3ea40', 'color': 'gold'}, {'start': 1.9413333333, 'end': 2.432, 'label': 'CHUNK', 'id': 'a68b4bc5-4eff-424e-baa6-f13b19564be8', 'color': 'gold'}, {'start': 3.6906666667, 'end': 4.1386666667, 'label': 'CHUNK', 'id': '637d170a-33b5-4e1b-bfc5-4a5bad1f04ea', 'color': 'gold'}, {'start': 5.5466666667, 'end': 6.1866666667, 'label': 'CHUNK', 'id': '87053ceb-0e7e-4dde-857c-de1a39ade778', 'color': 'gold'}, {'start': 7.5733333333, 'end': 8.1066666667, 'label': 'CHUNK', 'id': '3ba70e69-e0dc-4fa4-be07-2c10f0d0bf97', 'color': 'gold'}, {'start': 9.536, 'end': 10.112, 'label': 'CHUNK', 'id': '06908bfd-7112-42f2-8e15-026c0f65322c', 'color': 'gold'}, {'start': 11.4986666667, 'end': 11.8826666667, 'label': 'CHUNK', 'id': 'd6e23cfc-a897-4627-b20d-0f6f29aef0be', 'color': 'gold'}, {'start': 13.504, 'end': 14.8693333333, 'label': 'CHUNK', 'id': '16f4e0ac-8657-4437-827b-d01eeb21b066', 'color': 'gold'}, {'start': 16.3626666667, 'end': 20.6293333333, 'label': 'CHUNK', 'id': '7d95ea4f-33a0-4bd7-b067-436e80286153', 'color': 'gold'}]",./duplicate/AirRelease_DIGIF5-92.wav,AirRelease_DIGIF5-92,DIGI-F,DIGIF5
7,"[{'start': 0.0426666667, 'end': 0.5973333333, 'label': 'CHUNK', 'id': '068d2fc5-bf14-4dff-a6a4-5976fdc5ca79', 'color': 'gold'}, {'start': 1.3653333333, 'end': 1.728, 'label': 'CHUNK', 'id': '79b08d2e-4f00-412e-815b-5229dbb04d3e', 'color': 'gold'}, {'start': 2.5386666667, 'end': 2.816, 'label': 'CHUNK', 'id': 'cc1b0e24-fcc7-4211-93e7-925ddc88989c', 'color': 'gold'}, {'start': 3.7119999999999997, 'end': 4.0106666667, 'label': 'CHUNK', 'id': '831932ea-16c5-421b-87dc-18d04e95f84e', 'color': 'gold'}, {'start': 4.928, 'end': 5.6533333333, 'label': 'CHUNK', 'id': '7c05a095-5f87-4ed6-909e-06fd19f72100', 'color': 'gold'}, {'start': 6.6346666667, 'end': 7.2746666667, 'label': 'CHUNK', 'id': '00b9b785-8d2e-49d1-88b5-bf5410b1befc', 'color': 'gold'}, {'start': 7.872, 'end': 8.1493333333, 'label': 'CHUNK', 'id': 'e2d90929-4bee-4c32-a159-28d580fc622c', 'color': 'gold'}, {'start': 8.9173333333, 'end': 9.3013333333, 'label': 'CHUNK', 'id': '40efc9b1-37b8-4352-9b5c-6d4ee3804991', 'color': 'gold'}, {'start': 17.8773333333, 'end': 18.3466666667, 'label': 'CHUNK', 'id': '528e3387-3e5f-4cdc-b41b-47be69838f5f', 'color': 'gold'}, {'start': 18.7733333333, 'end': 19.2853333333, 'label': 'CHUNK', 'id': 'a1aabbc3-b799-4930-8900-df7d46eab42f', 'color': 'gold'}, {'start': 19.6693333333, 'end': 20.2026666667, 'label': 'CHUNK', 'id': 'aed59ecb-fd88-4eef-9b47-2528c7ef369a', 'color': 'gold'}, {'start': 20.6293333333, 'end': 21.0346666667, 'label': 'CHUNK', 'id': 'df830119-d2ac-4544-b585-9ff700dfc9c2', 'color': 'gold'}, {'start': 21.6106666667, 'end': 21.9306666667, 'label': 'CHUNK', 'id': 'c564c254-28fd-46dc-934c-27e8f5b73262', 'color': 'gold'}, {'start': 22.8693333333, 'end': 23.2106666667, 'label': 'CHUNK', 'id': '53965b7b-9896-4028-9464-b36923f6be1b', 'color': 'gold'}, {'start': 23.7866666667, 'end': 24.192, 'label': 'CHUNK', 'id': 'e7a0c2fd-4076-4682-9741-658073ac125e', 'color': 'gold'}, {'start': 24.896, 'end': 25.1733333333, 'label': 'CHUNK', 'id': 'e7abdcec-2cf6-4480-8fd1-0c91002940f5', 'color': 'gold'}, {'start': 25.9413333333, 'end': 26.2186666667, 'label': 'CHUNK', 'id': '60709fd6-2045-4c4d-8697-594d1b9be6ec', 'color': 'gold'}, {'start': 26.7946666667, 'end': 27.0933333333, 'label': 'CHUNK', 'id': '9efdc1ea-bac6-4fc3-b7b5-f12393e7c442', 'color': 'gold'}, {'start': 27.7546666667, 'end': 28, 'label': 'CHUNK', 'id': '7ba5408b-2e0d-47ea-ac95-ee0b23738934', 'color': 'gold'}, {'start': 10.0914826498, 'end': 11.3722397476, 'label': 'CHUNK', 'id': 'e3c12e6b-a84f-4c3f-894a-6b4df26e6d6c', 'color': 'rgba(255,215,0,0.2)'}, {'start': 11.7255520505, 'end': 13.403785489, 'label': 'CHUNK', 'id': 'b36c5831-2982-494c-a71d-a46b97d477c2', 'color': 'rgba(255,215,0,0.2)'}, {'start': 13.6687697161, 'end': 14.7728706625, 'label': 'CHUNK', 'id': '14ab865f-daf6-4766-a2ec-64f4df9dc85c', 'color': 'rgba(255,215,0,0.2)'}, {'start': 14.9495268139, 'end': 15.9211356467, 'label': 'CHUNK', 'id': '5f374740-3f89-427e-932c-ce75b3c71eff', 'color': 'rgba(255,215,0,0.2)'}, {'start': 16.3186119874, 'end': 17.3785488959, 'label': 'CHUNK', 'id': 'c52ca00d-f1a5-4893-ab03-69037f6f4e97', 'color': 'rgba(255,215,0,0.2)'}]",./duplicate/AirRelease_DIGIJ09-43.wav,AirRelease_DIGIJ09-43,DIGI-J,DIGIJ09
8,"[{'start': 0, 'end': 0.5760000000000001, 'label': 'CHUNK', 'id': '175a24a7-1552-496d-8bc7-5ef298a39fb6', 'color': 'gold'}, {'start': 1.3013333333000001, 'end': 2.56, 'label': 'CHUNK', 'id': 'a3b61351-3ba4-40bc-8391-792eb1b340da', 'color': 'gold'}, {'start': 3.584, 'end': 4.7146666667, 'label': 'CHUNK', 'id': 'f86a7b6c-ea3b-49dc-af5e-7f8acae2a70d', 'color': 'gold'}, {'start': 5.4826666667, 'end': 7.5093333333, 'label': 'CHUNK', 'id': '22b8916b-ab0e-44f5-b34a-c5f04e9e0d3b', 'color': 'gold'}, {'start': 8.0853333333, 'end': 11.1786666667, 'label': 'CHUNK', 'id': 'e5287d5a-b066-49bd-a0c5-e9876a7727c0', 'color': 'gold'}, {'start': 11.456, 'end': 14.528, 'label': 'CHUNK', 'id': '8b1b89d7-0d38-4abf-97d8-2bdbd152cd61', 'color': 'gold'}, {'start': 15.5306666667, 'end': 19.4346666667, 'label': 'CHUNK', 'id': '7aa78150-b007-4b72-b5af-16ecb4fb6609', 'color': 'gold'}, {'start': 19.9466666667, 'end': 23.2533333333, 'label': 'CHUNK', 'id': 'c30fb4e8-9cba-4cd1-a6de-3d6848333fb2', 'color': 'gold'}, {'start': 23.936, 'end': 27.1786666667, 'label': 'CHUNK', 'id': '05a362a1-ccde-493c-9884-d948cf9179aa', 'color': 'gold'}]",./duplicate/AirRelease_DIGIJ11-54.wav,AirRelease_DIGIJ11-54,DIGI-J,DIGIJ11
9,"[{'start': 0, 'end': 6.8053333333, 'label': 'CHUNK', 'id': 'ed625954-6d4d-4faf-ab64-30f287ee1554', 'color': 'gold'}, {'start': 7.68, 'end': 14.3573333333, 'label': 'CHUNK', 'id': '9c9b08d2-b801-4579-83fc-6abfb765c8b0', 'color': 'gold'}]",./duplicate/AirRelease_DIGIJ11-55.wav,AirRelease_DIGIJ11-55,DIGI-J,DIGIJ11
